FILE_NAME,GROUP_NAME,GOLD_TABNUMBER,EXTRACTED_TABNUMBER,RESULT,FIELD_NAME,CHILD_GOLD,CHILD_EXTRACTED
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,group,0,,"FP,FN"
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,group,,,,product,QUAM ACCUSANTIUM MINUS,
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,group,,,,quantity,91936.00,210
389057_1526301926_0.html,group,,,"FP,FN"
389057_1526301926_0.html,group,,,,product,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part Number 665249-B21 Serial No: MYI5410HLX
389057_1526301926_0.html,group,,,,quantity,1.00,1
389057_1526301926_0.html,group,,,,price,0.00,0.00
389842_advanced_1526302224_0.html,group,,,TP
389842_advanced_1526302224_0.html,group,,,,product,Expedita dignissimos dignissimos modi. Expedita dignissimos dignissimos modi. Officiis earum quas repudiandae dolore modi accusamus.,Expedita dignissimos dignissimos modi. Expedita dignissimos dignissimos modi. Officiis earum quas repudiandae dolore modi accusamus.
389842_advanced_1526302224_0.html,group,,,,price,169.21,169.21
doc00123720180117122026.html,group,3,,"FP,FN"
doc00123720180117122026.html,group,,,,product,Heavy Duty Wool Bottle,Heavy Duty Wool Bottle
doc00123720180117122026.html,group,,,,quantity,39.00,39
doc00123720180117122026.html,group,,,,price,730.14,730.14
doc00123720180117122026.html,group,2,,FN
doc00123720180117122026.html,group,,,,product,Enormous Wool Shirt,
doc00123720180117122026.html,group,,,,quantity,59.00,
doc00123720180117122026.html,group,,,,price,761.52,
doc00123720180117122026.html,group,0,,FN
doc00123720180117122026.html,group,,,,product,Intelligent Wooden Computer,
doc00123720180117122026.html,group,,,,quantity,15.00,
doc00123720180117122026.html,group,,,,price,481.68,
doc00123720180117122026.html,group,1,,FN
doc00123720180117122026.html,group,,,,product,Intelligent Bronze Chair,
doc00123720180117122026.html,group,,,,quantity,39.00,
doc00123720180117122026.html,group,,,,price,349.09,
doc00124120180117122213.html,group,7,,"FP,FN"
doc00124120180117122213.html,group,,,,product,Durable Leather Plate,Durable Leather Plate
doc00124120180117122213.html,group,,,,quantity,35.00,35
doc00124120180117122213.html,group,,,,price,930.36,930.36
doc00124120180117122213.html,group,6,,FN
doc00124120180117122213.html,group,,,,product,Ergonomic Linen Wallet,
doc00124120180117122213.html,group,,,,quantity,49.00,
doc00124120180117122213.html,group,,,,price,529.82,
doc00124120180117122213.html,group,5,,FN
doc00124120180117122213.html,group,,,,product,Heavy Duty Copper Shoes,
doc00124120180117122213.html,group,,,,quantity,82.00,
doc00124120180117122213.html,group,,,,price,228.18,
doc00124120180117122213.html,group,4,,FN
doc00124120180117122213.html,group,,,,product,Ergonomic Wool Plate,
doc00124120180117122213.html,group,,,,quantity,76.00,
doc00124120180117122213.html,group,,,,price,621.36,
doc00124120180117122213.html,group,0,,FN
doc00124120180117122213.html,group,,,,product,Synergistic Cotton Watch,
doc00124120180117122213.html,group,,,,quantity,83.00,
doc00124120180117122213.html,group,,,,price,366.44,
doc00124120180117122213.html,group,1,,FN
doc00124120180117122213.html,group,,,,product,Enormous Marble Shirt,
doc00124120180117122213.html,group,,,,quantity,71.00,
doc00124120180117122213.html,group,,,,price,190.55,
doc00124120180117122213.html,group,2,,FN
doc00124120180117122213.html,group,,,,product,Gorgeous Iron Keyboard,
doc00124120180117122213.html,group,,,,quantity,12.00,
doc00124120180117122213.html,group,,,,price,257.78,
doc00124120180117122213.html,group,3,,FN
doc00124120180117122213.html,group,,,,product,Aerodynamic Paper Lamp,
doc00124120180117122213.html,group,,,,quantity,42.00,
doc00124120180117122213.html,group,,,,price,433.46,
doc00124220180117122255.html,group,8,,"FP,FN"
doc00124220180117122255.html,group,,,,product,Gorgeous Granite Bag,Gorgeous Granite Bag
doc00124220180117122255.html,group,,,,quantity,54.00,54
doc00124220180117122255.html,group,,,,price,491.42,415.38
doc00124220180117122255.html,group,4,,FN
doc00124220180117122255.html,group,,,,product,Aerodynamic Alumina Dlate,
doc00124220180117122255.html,group,,,,quantity,75.00,
doc00124220180117122255.html,group,,,,price,467.46,
doc00124220180117122255.html,group,6,,FN
doc00124220180117122255.html,group,,,,product,Practical Paper Car,
doc00124220180117122255.html,group,,,,quantity,17.00,
doc00124220180117122255.html,group,,,,price,657.23,
doc00124220180117122255.html,group,3,,FN
doc00124220180117122255.html,group,,,,product,Gorgeous rubber Lame,
doc00124220180117122255.html,group,,,,quantity,59.00,
doc00124220180117122255.html,group,,,,price,393.92,
doc00124220180117122255.html,group,2,,FN
doc00124220180117122255.html,group,,,,product,Gorgeous Linen Pants,
doc00124220180117122255.html,group,,,,quantity,89.00,
doc00124220180117122255.html,group,,,,price,601.90,
doc00124220180117122255.html,group,0,,FN
doc00124220180117122255.html,group,,,,product,Awesome Wooden Lamp,
doc00124220180117122255.html,group,,,,quantity,57.00,
doc00124220180117122255.html,group,,,,price,216.69,
doc00124220180117122255.html,group,7,,FN
doc00124220180117122255.html,group,,,,product,Gorgeous Plastic F ate,
doc00124220180117122255.html,group,,,,quantity,93.00,
doc00124220180117122255.html,group,,,,price,415.38,
doc00124220180117122255.html,group,1,,FN
doc00124220180117122255.html,group,,,,product,Lightweight Iron Wallet,
doc00124220180117122255.html,group,,,,quantity,60.00,
doc00124220180117122255.html,group,,,,price,189.54,
doc00124220180117122255.html,group,5,,FN
doc00124220180117122255.html,group,,,,product,Gergeo-sAluminum lest,
doc00124220180117122255.html,group,,,,quantity,16.00,
doc00124220180117122255.html,group,,,,price,364.69,
doc00124520180117122409.html,group,8,,"FP,FN"
doc00124520180117122409.html,group,,,,product,Heavy Duty Paper Coat,Heavy Duty Paper Coat
doc00124520180117122409.html,group,,,,quantity,53.00,53
doc00124520180117122409.html,group,,,,price,81.38,81.38
doc00124520180117122409.html,group,6,,FN
doc00124520180117122409.html,group,,,,product,Awesome Copper Pants,
doc00124520180117122409.html,group,,,,quantity,45.00,
doc00124520180117122409.html,group,,,,price,595.52,
doc00124520180117122409.html,group,4,,FN
doc00124520180117122409.html,group,,,,product,Awesome Cotton Bottle,
doc00124520180117122409.html,group,,,,quantity,73.00,
doc00124520180117122409.html,group,,,,price,178.14,
doc00124520180117122409.html,group,2,,FN
doc00124520180117122409.html,group,,,,product,Fantastic Rubber Clock,
doc00124520180117122409.html,group,,,,quantity,51.00,
doc00124520180117122409.html,group,,,,price,36.78,
doc00124520180117122409.html,group,0,,FN
doc00124520180117122409.html,group,,,,product,Lightweight Steel Bench,
doc00124520180117122409.html,group,,,,quantity,58.00,
doc00124520180117122409.html,group,,,,price,915.87,
doc00124520180117122409.html,group,1,,FN
doc00124520180117122409.html,group,,,,product,Aerodynamic Bronze Plate,
doc00124520180117122409.html,group,,,,quantity,50.00,
doc00124520180117122409.html,group,,,,price,535.91,
doc00124520180117122409.html,group,5,,FN
doc00124520180117122409.html,group,,,,product,Mediocre Iron Gloves,
